text,label_id,label
"BERAS JEPANG (63.56%), MINYAK OLEIN KELAPA SAWIT, GULA, BUMBU RASA RUMPUT LAUT (3.673%) (MENGANDUNG BUTTERMILK, RUMPUT LAUT 1%, WHEY BUBUK, PEMANIS BUATAN ASPARTAM, PENGUAT RASA DINATRIUM INOSINAT dan DINATRIUM GUANILAT, PEWARNA ALAMI KARAMEL I), PATI KENTANG (MENGANDUNG PENGAWET SULFIT), PENGENTAL PATI ASETAT, KOSENTRAT SALMON DAN RUMPUT LAUT (MENGANDUNG IKAN, KECAP KEDELAI, UDANG, PEMANIS BUATAN ASPARTAM), GARAM YODIUM, RUMPUT LAUT (0.242%), GARAM GURIH, PERISA ALAMI PANGGANG, PENGUAT RASA MONONATRIUM L-GLUTAMAT, ANTIOKSIDAN TOKOFEROL CAMPURAN PEKAT. MENGANDUNG ALERGEN, LIHAT DAFTAR BARAN YANG
TEBAL MUNGKIN MENGANDUNG SUSU DAN GANDUM.",1,unsafe
"Kentang Kering (62,997%), Minyak Goreng Kelapa Sawit, pati Kentang, Pati Jagung, Gula, Garam, Perisa Alami Barbekiu, Penguat Rasa Mononatrium L-Glutamat, Anti Kempal Siiikon Dioksida Halus.",1,unsafe
"Olahan singkong (64,92%), tepung jagung halus, tepung maizena murni, minyak sawit, air bersih, zat pengemulsi",0,safe
"Ikan tenggiri segar, pati sagu, garam, minyak nabati murni",0,safe
"PENGEMBANG (NATRIUM HIDROGEN KARBONAT (500(ii))), Ubi kayu pilihan (63, Lakotsa, terigu, BHA), Laktosa.",1,unsafe
"Tepung beras (80%), bumbu bubuk (mengandung bubuk keju [7%], penguat rasa mononatrium L-glutamat [E621], dinatrium 5'-guanilat [E627] & dinatrium 5'-inosinat [E631], perisa alami), minyak nabati (mengandung antioksidan tokoferol campura pekat [E307b]). ",1,unsafe
"Tepung beras (91%), bumbu bubuk (mengandung kecap asin, laktosa, penguat rasa dinatrium 5'-guanilat [E627] & dinatrium 5'-Inosinat [E631]), minyak nabati (mengandung antioksidan tokoferol campuran pekat [E307b]). Mengandung alergen, lihat daftar bahan yang dicetak tebal. Mungkin mengandung susu, telur dan wijen.",1,unsafe
"Air. Susu Seger (20%), Gula, Susu Bubuk Skim, Susu Bubuk Penuh Lemak, Pati Modifikasi, Penstabil (Hewani Gelatin Sapi dan Nabati), Madu, Perisa Alami Yogurt, Premiks Vitamin, Kultur Bakteri (Lactobacillus Bulgaricus dan Streptococcus Thermophillus) (0.005%)",1,unsafe
"Beras (56, antioksidan vitamin C, Pengembang Pewarna Sintetik Makanan Coklat HT CI No, sagu murni, Pewarna Alami Karmin CI no.",0,safe
"bakteri asam lakfat, Garam (8, Pengembang Amonium Bikarbonat [E503ii], 19%).",0,safe
"saus tomat segar (45%), kepiting, 97%), seledri kering, Kakao Massa 4.",1,unsafe
"Perisa Sintetik Daging Sapi BBQ, Perisa Sintetik Ayam Goreng Perisa Sintetik Ayam, Sirup Jagung, Bumbu Rasa Ayam (Mengandung, Mengandung Fenilalanin, Minyak Goreng Kelapa Sawit, perisa alami paprika oleoresin.",0,safe
"Buah Stroberi Bubuk 0, Lemak Nabati (mengandung Antioksidan Tokoferol Campuran Pekat), pewarna alami (Beta-karoten (sintetik) CI No, Suksinat, LIHAT DAFTAR BAHAN YANG DICETAK, Bumbu Rasa Bawang Putih, Natrium Askorbat, tumbuhan).",0,safe
"Margarin (14%) (mengandung antioksidan (BHA, irisan bawang merah goreng, 78% (Mengandung cabe merah (28%), MINYAK NABATI (MENGANDUNG.",0,safe
"BUMBU BUBUK:, lihat bahan bercetak tebal, 75470), Oat Utuh (8%), Penguat Rasa Mononatrium Glutamat, 9%) (mengandung Antioksidan, Rempah.",0,safe
"Sup : Miso beras (59%) (air, kacang kedelai, beras, garam), air, alkohol, gula, hidrolisat, protein (kedelai), ekstrak ragi, garam, ekstrak bawang bombay, ekstrak kelp, bubuk ekstrak jamur shitake
Gamish : Tahu goreng kering (10%) (mengandung kacang kedelai, minyak kelapa sawit, pengatur keasaman kalsium sulfat dan glukono delta lakton, magnesium klorida), rumput laut wakame kering (7%), daun bawang kering (3%)",1,unsafe
"hazelnut, 49%), 9%)(Mengandung Cabai (40%), Kacang Hazel, perisa paprika natural, bawang putih halus (0, perisa jeruk mandarin sintetis.",1,unsafe
"Tenggiri segar giling, pati sagu murni, garam, minyak tumbuhan pilihan",0,safe
"Bumbu Pedas Level 15 (Serbuk cabai, pengatur pH (asam asetat dan asam laktat), Singkong segar (63, Kecap Fermentasi, krustasea.",1,unsafe
"Sintetik, alami santan, Lakotsa, Pengembang (Amonium Bikarbonat dan Natrium Bikarbonat) Perisa Alami, Pati Modifikasi, Pati Tapioka, bawang bombay, Dinatriun Guanilat).",0,safe
"KACANG HAZEL 28, apel), ANTIOKSIDAN TOKOFEROL CAMPURAN PEKAT, Bumbu Pedas Level 15 (Serbuk cabai, Gula Aren.",0,safe
"Tepung gandum, Lemak Nabati, Lemak Reroti, Gula (mengandung Pengawet sulfit), Fruktosa, Minyak Ketapa Sawit,
Maltosa, Garam, Mentega, Keju Bubuk (0,2%), Pengemulsi Lesitin Kedelai.",1,unsafe
"3% (GULA, beras kering, Minyak Atsiri Paprika, EDTA sebagai sekuestran, Pati jagung, Pati termodifikasi.",0,safe
"PENSTABIL FOSFAT, Humektan Nabati, serbuk jagung, minyak zaitun murni (4%), penguat rasa, Bumbu Rasa BBQ Balado (mengandung Rempah (Bubuk Cabe (0, lada bubuk, Lemak Nabati (mengandung Antioksidan TBHQ).",0,safe
"Air minum, susu, Brokoli ( 0, Bubuk Jelly, Serbuk cabai, SIRUP MALTOSA, merah allura CI 16035.",1,unsafe
"Lobak premium (60%), air steril, asam asetat food grade, garam, pengatur asam (asam sitrat, asam laktat), kalium sorbat, vitamin C, dekstrosa, natrium sulfat.",0,safe
"campuran rempah rahasia, Pati Jagung, 42090 (133)), PENGEMBANG: NATRIUM BIKARBONAT, Mengandung Gula dan Pemanis Buatan.",0,safe
"mentega, tepung dari beras putih, cumi-cumi, sari ragi), Sirup jagung, Perisa, jahe.",1,unsafe
"konsentrat sari buah anggur (2, mentega, Kakao Bubuk 4%, Wortel ( 1, Perisa sintetik, daun seledri kering.",1,unsafe
"Beras, minyak goreng sawit, kecap mengandung kedelai dan gandum), gula, madu, pati (kentang, jagung), isomalto oligosakarida, pati tapioka termodifikasi, kalsium tiram, penguat rasa mononatrium L-glutamat, bumbu (bawang bombay, bawang putih, kacang kedelai), kecap bubuk (mengandung kedelai dan gandum), pewama alami karamel I, paprika, garam, trehalosa Mengandung alergen, lihat daftar bahan
yang dicetak tebal Diproduksi menggunakan peralatan yang juga memproses telur, susu, udang, dan kacang",1,unsafe
"Penguat rasa mononatrium L-glutamat, pengawet alami kalium sorbat, Tepung Ketan, Pewarna Alami Karamel (1).",0,safe
"Kakao Bubuk 2, Perisa Alami Vanila, aroma jeruk mandarin artifisial, Tepung porang terbaik (48%).",0,safe
"Air, Cokelat Pelapis* 33%, Gula, Minyak Nabati, Padatan Susu 5.6%, Butiran Kacang Almond 4.1%, Sirup Glukosa, Pengemulsi Nabati, Penstabil Nabati, Perisa Alami Vanila, Pewarna Alami Beta Karoten (sayuran) CI. No. 75130 (Mengandung Antioksidan d-alfa Tokoferol dan Asam Askorbat). ",1,unsafe
"penyedap MSG, Pengembang (natrium nidrogen karbonat, emulsifier (fosfat dan nabati), Perlakuan tepung Protease dan Aspergillus oryzae, kalsium laktat, aroma jeruk mandarin buatan, lihat daftar bahan tebal, Ekstrak Anato CI.",0,safe
"Cuka (mengandung alkohol 0, Pati Modifikasi, Dinatrium Inosinat (E631)], susu.",1,unsafe
"lesitin kedelai, Pewarna Tartrazin CI, Lemak Reroti Nabati (Mengandung Antioksidan Askorbil Palmitat &TokoferoI), MSG sebagai penyedap.",1,unsafe
"pengatur keasaman (asam laktat, rapeseed), Pewarna makanan (Biru berlian CI 42090, Lemak Nabati (mengandung Antioksidan Tokoferol Campuran Pekat), perhatikan bahan yang dicetak tebal, Sirup Jagung Tinggi Fruktosa, Ekstrak Protein Sayuran, Vitamin B3.",0,safe
"Sarden pilihan (51%), pasta tomat (45%), gula, garam, siung bawang putih (0,7%), bawang merah segar",0,safe
"campuran rempah rahasia, Kuning, DAN PENGATUR KEASAMAN ASAM SITRAT, garam beryodium, Bumbu Rasa Ayam (Mengandung Penguat Rasa Mononatrium Glutamat), Penstabi Gom Arab (E414), zat pengemulsi, Perisa Alami Mangga.",0,safe
"Daging tenggiri pilihan, sagu halus, garam murni, minyak nabati berkualitas, cabai merah kering, irisan bawang merah",0,safe
"gula, minyak dari tumbuhan, Minyak Nabati Kelapa Sawit, Bubuk cokelat, lihat, bawang putih, Gula Merah, 25 % ).",0,safe
"Singkong segar (64,92%), tepung dari jagung, tepung maizena, minyak sawit, air murni, bahan pengemulsi",0,safe
"Air, gula dan sirup jagung tinggi fruktosa, polidekstrosa, konsentrat sari buah anggur (2.5%), konsentrat sari buah apel (2%), pengental (gom kacang lokus, gom xanthan, karagen, kalium klorida, kalsium laktat, glukosa), konsentrat sari buah persik (1%), pengatur keasaman (asam sitrat, trinatrium sitrat), kolagen ikan, perisa sintetik (anggur, persik, apel), bubuk konjak. ",1,unsafe
"Rolled Oats (78, Pewarna Makanon Alami Kurkumin CI No, saus sambal pedas (dengan penguat rasa MSG) (41%), jahe bubuk, daun bawang kering (3%), pengembang natrium karbonat, 4%).",0,safe
"Pemanis Alami Isomalt, penstabil (nabati, Lemak Reroti (Mengandung Antioksidan, Pewarna Alami (Beta-Karoten (sayuran) CI, susu, Singkong ungu pilihan.",1,unsafe
"Bl (Tiamin), PENGEMULSI: MONO DAN DIGLISERIDA ASAM LEMAK, bubuk coklat pekat, Singkong pilihan (63, telur bubuk.",1,unsafe
"pengembang amonium hidrogen karbonat, minyak dari tumbuhan, kalsium laktat), whey.",1,unsafe
"gula dan sirup jagung fruktosa tinggi, PENGATUR KEASAMAN, dan garam halus, lesitin kedelai, 40800, lihat daftar bahan, Sirup Glukosa.",1,unsafe
"Singkong iris pilihan, daun jeruk purut, garam beryodium, cabai bubuk, minyak goreng murni, bumbu rempah tradisional, bawang putih tumbuk.",0,safe
"Sarden segar (51%), saus tomat kental (45%), gula, garam, bawang putih bubuk (0,7%), bawang merah cincang",0,safe
"Kacang Pikan (15, Kakao Bubuk (6, Singkong terbaik (63, Dinatrium Inosinat & Guanilat, cabai rawit pedas (1%).",0,safe
"Bikarbonat), susu bubuk, Campuran Bumbu Pedas Tingkat 15 (Serbuk cabai, Pengatur Keasaman Natrium Sitrat, Minyak Goreng Kelapa Sawit (mengandung antioksidan TBHQ), campuran rasa soto (mengandung hidrolisat protein nabati, Minyak sayur.",1,unsafe
"susu bubuk, minyak olein dari buah sawit, cabai rawit, PEWARNA MAKANAN SINTETIK (MERAH ALLURA CI, Minyak.",1,unsafe
"Biji Bunga Matahari, pewarna alami karamel IV, MSG, pengatur asam (asam asetat dan asam laktat), 79% (mengandung pewarna makanan sintetik Kuning FCF (CI 15985)), pemanis asesulfam-K.",0,safe
"Minyak Sayur, sari jeruk mandarin (4, Premiks Vitamin, 28%), Singkong ungu pilihan, Bumbu Daging Sapi (Mengandung Penguat Rasa Moponatrium L-Glutamat).",0,safe
"Keripik singkong terbaik, daun jeruk bali, garam alami, cabai keriting, minyak goreng sehat, rempah pilihan, bawang putih kering.",0,safe
"Olahan udang, tepung dari sagu, garam halus, minyak sayur",0,safe
"Dektrosa Monohidrat, sesame, Gula Pasir, Moluska, Jagung (18.",1,unsafe
"TEPUNG TERIGU, GULA, LEMAK NABATI (MENGANDUNG ANTIOKSIDAN TOKOFEROL), SUSU BUBUK, MENTEGA, PENGEMBANG (AMONIUM BIKARBONAT
DAN NATRIUM BIKARBONAT), PERISA SINTETIK (SUSU, MENTEGA, VANILA), GARAM, PENGEMULSI NABATI.
Mengandung alergen, lihat daftar bahan yang dicetak tebal. Dapat mengandung telur, kedelai dan kacang.",1,unsafe
"Semolina, bumbu (terdiri dari gula, potongan bawang bombay, Air, Krispi Beras (2%).",0,safe
"Potongan singkong (64, Potongan singkong terpilih, kedelai, antioksidan tokoferol), sari buah asam (0.",1,unsafe
"Lobak segar (60%), air minum, asam cuka, garam laut, pengatur keasaman (asam sitrat, asam laktat), pengawet alami kalium sorbat, asam askorbat, gula glukosa, natrium sulfat.",0,safe
"Mengardung alergen, pengawet asam sorbat, Bl2), KAKAO BUBUK, telur.",1,unsafe
"penstabil monokalsium fosfat, PENGUAT RASA DINATRIUM INOSINAT dan DINATRIUM GUANILAT, Asam Laktat), whey, Saus Cabai (4.",1,unsafe
"2%}, 45%), sarden, Saus Cabai (4.",1,unsafe
"Perisa Sintetik Rumput Laut 2, asam asetat), Krimer Nabati Bubuk, 45430, Ekstrak Daging Sapi (0, Natrium Karbonat), tepung yang dimodifikasi (enzim protease dan amilase).",0,safe
"Penguat Rasa [Dinatrium 5'-Inosinat (E631), 02%), bubuk jagung, almond, Bumbu Rasa Jagung (3.",1,unsafe
"tepung dari jagung, garam (1%), Perisa Sintetik Kelapa, Serat Pangan, Kakao Bubuk (7, tepung maizena murni, Antioksidan Tokoferol Campuan Pekat dan BHT), maltodekstrin.",0,safe
"Irisan singkong berkualitas, daun jeruk segar, garam dapur, cabai kering, minyak sayur, bumbu rempah, siung bawang putih.",0,safe
"crustacea, SELAI CERY 1% (MENGANDUNG PEWARNA ALAMI ANTOSIANIN DAN PENGAWET KALIUM SORBAT), jus jeruk mandarin segar (4, Kakao, Bawang Bombay Bubuk 1.",1,unsafe
"Bawang Putih Bubuk (mengandung Kacang Tanah), Racang Pohon, bawang bombay cincang, Pewarna Alami Beta Karoten (Sayuran) CI, Minyak Nabati (mengandung antioksidan tokoferol dan pewarna alami Beta-Karoten (sayuran) CI, pengembang natrium karbonat.",0,safe
"Mi: Tepung terigu, tepung mocaf (1.81%), garam, saripati bayam
(0.04%), pewama alami klorofilin tembaga kompleks CI. No.
75815, penstabil nabati gum arab, pengembang natrium karbonat
Bumbu: Gula, garam, daging sapi bubuk, ekstrak ragi, penstabil
kalium klorida, maltodekstrin, bubuk bawang putih (0.28%),
bubuk bawang bombai (0.21%), bubuk keturbar (0.14%), Perisa
alami santan
Bubuk Cabai: Bubuk cabai (0.62%)
Minyak Rendang: Minyak nabati, bawang merah (0.5%), daun
salam, ketumbar, perisa alami paprika oleoresin, jinten, kunyit
(0.06%)
Kecap Manis: Gula, air, garam, kedelai hitam",1,unsafe
"Pengawet (Kalium Sorbat, Teh Hiiau Bubuk (0, Pisang Bubuk (0, zat pengemulsi (fosfat.",0,safe
"Lakotsa, PENGUAT RASA DINATRIUM INOSINAT dan DINATRIUM GUANILAT, perhatikan daftar bahan bercetak tebal, campuran rempah, Ekstrak daging kelapa terbaik (50%), gandum, Humektan Nabati.",1,unsafe
"bawang putih parut, crustacea, Madu (3%), Pelapis Perisa Sintetik.",1,unsafe
"bawang putih cincang (0, 9%)(Mengandung Cabai (40%), kasein, Campuran Bumbu Pedas Level 15 (Bubuk cabai, Cokelat dan Vanila, serbuk jagung, tepung tapioka.",1,unsafe
"TEH HIJAU BUBUK (2%), Protein Nabati (KedeIai), Kentang yang dikeringkan, PENGATUR KEASAMAN ASAM TARTRAT, Pewarna Alami Karamel kelas.",0,safe
"kacang-kacangan, Kacang Tanah (45, Saus Stroberi 16% (Mengandung Kalium Sorbat), 68%), Madu Bubuk (0, Penstabil Natrium Tripolifosfat.",0,safe
"557%), ibu hamil dan ibu menyususi, Lemak Reroti Nabati (Mengandung Antioksidan Askorbil Palmitat &TokoferoI), Gula halus.",0,safe
"Kcang Tanah, Tepung Terigu, Minyak Nabati, Pati Tapioka, Gula, Telur, Garam, Bawang Merah, Bawang Putih, Penguat Rasa Mononatrium Glutamat, Lada Putih Bubuk.",1,unsafe
"B12), Glutamat, Minyak Rendang: Minyak nabati, REMPAH-REMPAH, Margarin (Mengandung Antioksidan BHA dan Pewama Alami Beta Karoten CI, Ragi, Kecap Inggris (Mengandung alkohol 0.",0,safe
"sari jeruk mandarin (4, Hidrolisat Protein Nabati, Daun Bawang ( 1, minyak dari buah sawit (dengan antioksidan tokoferol).",0,safe
"Tepung Mocaf, Cokelat Compound Hitam Chips (16%, mengandung Susu Bubuk), Margarin (Mengandung Antioxidant BHA), Pewarna Beta Carotene (sintetik CI 40800), Putih Telur, Tepung Beras, Oat Utuh (8%), Polidekstrosa, Kacang Almond (4%), Cokelat Bubuk (2%), Inufin, Tepung Kelapa, Gula Halus, Pengemulsi Nabati, Perisa Vanila, Pengembang (Amonium Bikarbonat dan Natrium Bikarbonat), Pemanis Alami Steviol, Garam. Mengandung alergen, lihat komposisi yang dicetak tebal",1,unsafe
"Bubuk Cabai: Bubuk cabai (0, minyak nabati (dengan antioksidan TBHQ), Sirup Fruktosa, bawang merah cincang.",0,safe
"pewarna alami karamel IV, Magnesium Karbonat, umbi singkong (31, Pewarna Alami Kurkumin CI, LEMAK KAKAO, tepung gandum, penguat rasa (Dinatrium 5'-Inosinat dan Dinatrium 5'-Guanilat).",1,unsafe
"telur bubuk, perhatikan daftar bahan bercetak tebal, Minyak Rendang: Minyak nabati, BUMBU : Gula, kacang-kacangan, rempah-rempah pilihan.",1,unsafe
"jinten, antioksidan vitamin C, 3% (GULA, B6 (Piridoksin), biji wijen.",1,unsafe
"Pisang Bubuk (0, VITAMIN B3, tepung tapioka, kedelai.",1,unsafe
"Kentang berkualitas, 35%, pewarna alami (Beta-karoten (sintetik) CI No, garam laut (1%), susu bubuk, Anti Kempal.",1,unsafe
"8 %, kasein, Campuran Bumbu Pedas Tingkat 15 (Serbuk cabai, Penguat Rasa Mononatrium Glutamat, tepung konyaku, Pati Kentang (59.",1,unsafe
"Pewarna Alami Beta Karoten CI 40800 (mengandung Antioksidan Tokoferol), penguat, tepung jagung, VITAMIN B2, Margarin (Mengandung Antioksidan Alfatokoferol, 75130 (160a(ii).",0,safe
"Kentang yang dikeringkan, 75300, ikan, Penguat Rasa Mononatrium Glutamat (E621), Bubuk Ketumbar (0, KECAP MANIS : Gula.",1,unsafe
"Bumbu: Garam, jamur, Cokelat Bubuk (0, wijen.",1,unsafe
"minyak sayur (mengandung TBHQ), Dekstrosa Monohidrat, tepung terigu, natrium benzoat sebagai bahan pengawet, Tapioka), gula murni.",1,unsafe
"Gula, Tepung Terigu, Maltodekstrin, Lemak Nabati (Mengandung Antioksidan BHA), Minyak Nabati (Mengandung Antioksidan TBHQ), Remahan Kukis (Mengandung Terigu, Susu & Telur) (10%), Krimer (Mengandung Kasein), Kakao Bubuk (4.7%), Kalsium Karbonat, Krispi Beras (2%), Susu Bubuk Full Cream, Pengemulsi Lesitin Kedelai, Garam, Perisa Sintetik, Pengembang, Pasta Kacang Hazelnut (0.04%), Tepung Telur, Pewarna Alami Karamel Kelas IV.
Mengandung alergen, Iihat daftar bahan yang dicetak tebal.",1,unsafe
"PENSTABIL (PATI OKSIDASI, pengatur asam (asam sitrat, minyak biji sawi, Cabe cheongyang), pewarna buatan (tartrazin CI 19140.",0,safe
"Ubi kayu (64, Sahang, Cokelat Compound Hitam Chips (16%, garam laut (0, sirup glukosa, Beras berkualitas tinggi (85, Pasta, Penstabil Dinatrium Difosfat.",0,safe
"Bumbu-bumbu, PENGAWET (KALIUM SORBAT DAN NATRIUM PROPIONAT), Pengganti Lemak Kakao, Pengemulsi Nabati (Lesitin, Dinatriun Guanilat).",0,safe
"Tepung terigu, Air, Bumbu Rasa Barbekue 11.18% (Mengandung Penguat Rasa (Mononatrium Glutamat, Dinatrium
Ribonukleotida), Ekstrak daging sapi 1%, Bawang Bombay Bubuk 1.5%, Bawang Putih Bubuk 0.8%, Kedelai, Pewarna Sintetik Kuning FCF CI No. 15985), Minyak goreng kelapa sawit (mengandung antioksidan TBHQ), Margarin (mengandung pengawet Kalium sorbat, pewarna alami (Beta-karoten (sintetik) CI No. 40800, Ekstrak anato CI. No. 75120, Kurkumin CI. No. 75300), antioksidan (BHA dan BHT), Garam.
Mengandung alergen, lihat daftar bahan yang dicetak tebal.",1,unsafe
"KUE BERAS: Beras, Garan Pengatur Keasaman Asam Sitrat.
SAUS: Air, Gula (mengandung pengawet sulfit), Sirup Jagung Tinggi Fruktosa, Bumbu (mengandung penguat rasa (Mononatrium Glutamat, Dinatrium Inosinat, Dinatrium Guanilat), Antioksidan Tokoferol), Cabe, Bawang Putih, Pengental Hidroksipropil Dipati Fosfat, Bawang Bombai, Hidrolisat Protein Nabati (Kedelai), Pasta Tomat, Pengental Gom Xanthan, Perisa Alami, Perisa Sintetik (mengandung antioksidan tokoferol), Pengatur Keasaman Asam Sitrat, Pengatur Keasaman Asam Laktat, Pengawet Kalium Sorbat. Mengandung alergen, lihat daftar bahan yang
dicetak tebal. TABURAN: Biji Wijen (1,49%).",1,unsafe
"Gula kristal, sirup glukosa, pengatur keasaman (asam sitrat), ekstrak asam jawa (0,80%), garam halus, pewarna makanan alami karamel IV, perisa buatan.",0,safe
"MINYAK NABATI (MENGANDUNG MINYAK INTI KELAPA SAWIT TERHIDROGENASI, tepung sagu, kacang mede, dinatrium 5'-guanilat, 997%), Gula.",1,unsafe
"Dinatrium 5'-inosinate, telur, gula tebu, Tanpa, Brokoli ( 0.",1,unsafe
"Gula kristal, Pengatur Keasaman Asam Malat, Pewarna Alami Merah Bit, Bubuk Kecap, Minyak Triglsenda, DAN PEWARNA SINTETIK TARTRAZIN CI NO, perisa buatan (stroberi.",0,safe
"whey, Gula pasir, 48%, Pengembang Amonium Hidrogen Karbonat.",1,unsafe
"Filet ikan tenggiri, tepung dari sagu, garam halus, minyak sayur",0,safe
"Filet ikan tenggiri, sagu murni, garam beryodium, minyak nabati, cabai merah bubuk, bawang merah goreng",0,safe
"Susu skim rehidrasi (56%), keju (21%), mentega, protein susu, garam pengemulsi: natrium polifosfat (E452i); konsentrat kalsium susu, konsentrat mineral susu, konsentrat susu (mengandung asam laktat). Mengardung alergen, lihat daftar bahan yang dicetak tebal.",1,unsafe
"Air murni, gula kristal (19,5%), potongan nata de coco (7,14%), jeli bubuk, pengatur pH (asam sitrat), perisa sintetik (stroberi, leci, melon), tepung konjak, pewarna sintetis (tartrazin CI 19140, merah allura CI 16035, biru berlian FCF CI 42090). Bebas dari pengawet dan pemanis buatan. Diproduksi dengan alat yang juga digunakan untuk produk susu.",0,safe
"Ubi kayu ungu segar, minyak nabati sehat, garam alami, gula putih murni",0,safe
"daging sapi bubuk, Mengandung pemanis buatan, garam dapur, PATI KENTANG 1, 45%), Oat Utuh (8%).",0,safe
"gula dan sirup jagung kaya fruktosa, pure tomat (45%), Premiks Vitamin & Mineral, Semolina Jagung), Air, pengatur keasaman (asam asetat dan laktat).",0,safe
"Pewarna Alami (Beta-Karoten (sayuran) CI, MINYAK INTI KELAPA SAWIT TERFRAKSI), Jahe bubuk, minyak sayur, Penstabil Gliserin, tepung terigu, konsentrat sari buah apel (2%).",1,unsafe
"Gula, Tepung Tapioka, Tepung Terigu, Minyak Olein Kelapa Sawit, Lemak Susu, Kakao Bubuk, Sirup Glukosa, Susu Bubuk Full Cream, Tepung Ubi Jalar, Pengembang Natrium Hidrogen Karbonat, Penstabil Dinatrium Difosfat, Garam, Pengemulsi Lesitin Kedelai, Perisa Sintetik (mengandung Pewarna Alami Karamel l), Perisa Sintetik (mengandung pewarna
Alami Karamel l), Bumbu Rasa Cokelat (mengandung Gula, Cokelat Bubuk (0,005%), susu Bubuk), Mengandung alergen, lihat daftar bahan yang
dicetak tebal",1,unsafe
"pengental xanthan, kepiting, Penstabil (Nabati), RAGI.",1,unsafe
"asam asetat food grade, 002%), pengental gom xanthan, karagenan, Pengembang (Amonium Bikarbonat dan Natrium Bikarbonat) Perisa Alami, pengental xanthan gum.",0,safe
"Beras berkualitas tinggi (85,79%), pati singkong, maltodekstrin, garam, gula pasir, penyedap MSG, aroma ayam buatan, minyak sayur (mengandung TBHQ), irisan daun bawang kering, bawang putih bubuk, merica bubuk, vitamin (A dengan tokoferol, B1, B2, B6, B12).",0,safe
"38%, aroma ayam artifisial, Lihat daftar bahan yang dicetak tebal, pati sagu murni, garam halus, Tanpa bahan pengawet dan pemanis artifisial, Bifidobacterium, Serat rebung.",0,safe
