nama produk,group_key,gold_label,label_id,audit_text_hash_v5,leakage_component_id,split
grisbi biskuit cokelat isi krim coklat,grisbi biskuit cokelat isi krim coklat,unsafe,1,9ea74797279bc66a2a6e71f41d366b754c8a49afe54f9422d1729b9edc50a99e,74,real_train
grona garibaldi,grona garibaldi,unsafe,1,a4a03f086a6b9645a96a007d2113a12f55e7bb597938e4331ae8735968159004,75,real_train
grona napoleon,grona napoleon,unsafe,1,29c811af090c799e5b4ce01d7ce6cd7b882db9740d7a10e0d714caea7b65a30b,76,real_train
guribee layers bbq balado,guribee layers bbq balado,unsafe,1,08cdc16525c44477f868df294ec8dce9c630cd266603ccb48d0a7c1821891489,77,real_train
hanzel sosis sapi dan ayam rasa keju mozarella,hanzel sosis sapi dan ayam rasa keju mozarella,unsafe,1,63f93da987bfdbc5edac59ea6d7781a4b9aaa8a0d9cbc795c396c9dd550319d2,78,real_train
herr's makanan ringan ekstrudat keju rasa pedas,herr s makanan ringan ekstrudat keju rasa pedas,unsafe,1,0d2857322f8cd4738a23c8e79dfafcb5d6b873f321a51d89c9b06cd4b90cba52,79,real_train
hometown dairy,hometown dairy,unsafe,1,03b5026ec16245db4a5bf529e5e8707144e32df03fbf133e2d0e53658a2eecac,80,real_train
ice cream aice,ice cream aice,unsafe,1,19e0afe9db7655d0bf7d009926f91fde9d72d50980169e47eaa0d9d7b5b14800,81,real_train
il gelato blackforest,il gelato blackforest,unsafe,1,92c6eb71158be18c869fb412002097be05b9e35005d2665afa73a384b3ef717c,82,real_train
il gelato chocolate,il gelato chocolate,unsafe,1,152fb8dd09009c4430429a90d7ba303e031a8c25313640fe09622c928ab12b34,83,real_train
il gelato green tea,il gelato green tea,unsafe,1,b6eb86f5336b61293a907ff14ab093f410804c94099dc4c827ac1439b634ac13,84,real_train
il gelato vanila,il gelato vanila,unsafe,1,f0f7333d7119e53bad40b418b03117a9c1730dbe869dfa10d23883856f6b59d8,85,real_train
indomie goreng,indomie goreng,unsafe,1,ec1e8af2219ce8627af49c964085c7ec7fb4b75bbbf61a333ecbe32b7fdef952,86,real_train
jacker potato crisps barbecue flavour,jacker potato crisps barbecue flavour,unsafe,1,b3e26ca2187e347da0ce67b6ac080e0620d610920e8cac4b71217cde92f1328c,87,real_train
jetz sweet stick,jetz sweet stick,unsafe,1,f76d80787ac533f68b151cc71c59d20b89baef808e5723c10a44da6d24bdeeea,88,real_train
jumulleok marinated boneless beef short-ribs,jumulleok marinated boneless beef short ribs,unsafe,1,579d09cbdb8d21a64a969441ff7acc0a1de7f8f849d27c55ab0edb731942d561,89,real_train
kacang garuda,kacang garuda,unsafe,1,5af58455f4d111d2ca255ee43662ff22ca2e71dca69f3bc4501da78b83593b29,90,real_train
kacang polong berlapis tepung kasugai green mame,kacang polong berlapis tepung kasugai green mame,unsafe,1,691cf574757c61288e3b6a4830d8a2883e71907ba3e560df12a53df066ad8caa,91,real_train
kanzler singles ori,kanzler singles ori,unsafe,1,841af4478bfc02a05931cf2b041ea64298bf97996b8d8c9efbba24a456a872eb,92,real_train
kartika toast bagelen,kartika toast bagelen,unsafe,1,09992e7c16f859afefc932597a9ea14df48cdcf450ec394b0f911f322a8f065f,93,real_train
kata oma telur gabus,kata oma telur gabus,unsafe,1,ecf38d68e1c8f6a1c952ddefb57d5388ee17f93558fbfa5a1f52ea14e7ed6d64,94,real_train
kellogs coco fills,kellogs coco fills,unsafe,1,4064da6445845e0b3071cb4f727628fbd8b6bebc0dfa5d3e7ef235d58ce85cfa,95,real_train
kellogs corn flakes,kellogs corn flakes,unsafe,1,5a7b18d09c7057a8d64f3c5bf2ac6b1f10442b9b504b4b0b3a0f733019e00199,96,real_train
keripik tortila rasa bawang dan mentega,keripik tortila rasa bawang dan mentega,unsafe,1,0d54ff3870d15e4e12e440a1c34be359b18cef0a1bb7eeae10b04a1b9d5e9790,101,real_train
keripik tortila rasa pedas,keripik tortila rasa pedas,unsafe,1,d0b35080346db72ff0a1afe149034d1871ff075ac9641c1c362949de7a267225,102,real_train
kerupuk jengkol balado,kerupuk jengkol balado,unsafe,1,a35ac8140919cc63085ebc1fad397048c510b366ae47431aba99b80b40a768b1,105,real_train
kerupuk jengkol original,kerupuk jengkol original,unsafe,1,dc6cdff68d8aa2a976c825e104b65bfcc5087a582a92c78903673e20a54a42e2,106,real_train
khong guan marie biscuit,khong guan marie biscuit,unsafe,1,95c6310b0296fc1ac5585a55c287162ef0dfa5d9f02ef40376efb409f0bf62f1,108,real_train
kin yougurt original,kin yougurt original,unsafe,1,0d23863331ef2317760b28112853f7ba257858a4e7b66f66fd6a56d585086224,109,real_train
kinder bueno,kinder bueno,unsafe,1,aa5875ef70a38369699b98711049f9cd5294dd461219e655edb721ece5748f59,110,real_train
koko crunch,koko crunch,unsafe,1,38f2f7a43936bf9a36008149d6d2b22a1e198d5603bf50d8000ce90b0cd95d95,112,real_train
kokola cookies milk vanilla,kokola cookies milk vanilla,unsafe,1,e31a187764bf9d738c5fcc7e50443288a8fdefd1173a1afb089961f47ac24a8e,113,real_train
kornet sapi,kornet sapi,unsafe,1,60a5a19112b4abf67b644e7f62d5a1c348caf39338f17fadac04c5c5738be3e0,114,real_train
krekers beras rasa keju,krekers beras rasa keju,unsafe,1,c687559c02abe9b8357067edf2e6086a7fe117f90a8bf5821612ef99adaf61b8,115,real_train
krekers beras rasa rumput laut,krekers beras rasa rumput laut,unsafe,1,8a499662b167eb46e832887a4140222932b8c05fcd05fdf28a7af54826ad0e43,116,real_train
krekers beras rasa teriyaki,krekers beras rasa teriyaki,unsafe,1,45463d11e8abf33e037bafc04c635c09cd5b63a1acc2e3877ac52b28cd77e6f6,117,real_train
krekers rasa barbekiu,krekers rasa barbekiu,unsafe,1,033c95d60006823106828eb2846a3fbbef9d54c9a2eb87c6478f336e63bb20ea,118,real_train
krekers rasa keju shapes cheddar,krekers rasa keju shapes cheddar,unsafe,1,e5caab50ea2838fe9550ed85a2afbb4ba6f2c5b56620ae4c4547299d17f257fa,119,real_train
krekers rasa keju shapes nacho cheese,krekers rasa keju shapes nacho cheese,unsafe,1,dafc547ff681e687ad1141b440cd120f97809ee8932b84597d43dd5553c8271e,120,real_train
krekers water cracker original,krekers water cracker original,unsafe,1,ec6cc92ec07280164a2d72ff5b51125b7a26d22a35e5b18ed1c6dacddabf58e2,121,real_train
krisbee pillow coklat,krisbee pillow coklat,unsafe,1,82a3dc446e6cb591182e239595b00638572d092a0915981a97563c436b314531,122,real_train
kuaci rebo coconut,kuaci rebo coconut,unsafe,1,18e3adbb91c4624ef67857d0fa0decd7c57605c659dea3341024b79e06586812,123,real_train
kuaci rebo milk,kuaci rebo milk,unsafe,1,f9ef5c8bdf812c5e441a27225756ac362bd130b3309208569800c3b33cc43573,124,real_train
kuaci rebo original,kuaci rebo original,unsafe,1,73e33b490bfc7ad644accba1ec852141be6d49da2a40c5b1b71d33adf6d910a6,125,real_train
kuaci rebo salted caramel,kuaci rebo salted caramel,unsafe,1,208ca2fb87e015d19fd6ed3cd548ac864ee66380bf97243db1c5efd70b5d158e,126,real_train
kukis dengan potongan triple cokelat,kukis dengan potongan triple cokelat,unsafe,1,b525960f12c73c7483886cfad5f546a2cffa09ffe58e3d0cf1bdcc74382834a6,127,real_train
kukis rasa cokelat renyah,kukis rasa cokelat renyah,unsafe,1,bf44fe6f503b5323f3d844d11d1aa5a936aa6e783bf10f4f6bad2dc511553f8d,128,real_train
LaVache qui rit original,lavache qui rit original,unsafe,1,f5bbd461b04d6c0d0485ee5b994e5f83d6a33889c17253ebe723b5ce85a43888,129,real_train
leibnis butter biscuit,leibnis butter biscuit,unsafe,1,f50e9f34bf535d57271f44cc9a85d0a355e49a5d5a52b74640d85da331e50e39,130,real_train
lemonilo,lemonilo,unsafe,1,c4a2963cfb8fea996276926057fb739fba669a27a82c98262a2d4555ba7d3612,131,real_train
lexus,lexus,unsafe,1,a206f940b6bc3260c34445584b328737f288868a369e773c1e8df5230f7ac84d,132,real_train
lotte krekers mini rasa keju,lotte krekers mini rasa keju,unsafe,1,c730b55cb10029b08a96140cdae5b251faca5291fed0de57cefb23fbe119eacd,133,real_train
lotte toppo,lotte toppo,unsafe,1,30dd59117a4ebb3e5fe96dda38b53fac3ae3df36cfb915f561c9c907483be768,134,real_train
lotus biskuit karamel,lotus biskuit karamel,unsafe,1,8620951cccf46b8780e983a7d79f9a2433cef8ca859274b0bf9a8668fd074868,135,real_train
magnum chocolate almond,magnum chocolate almond,unsafe,1,b4b481e03f0c7acdc43d6595428518e47da07d6dd3f1e8bd5c5464232f4f4958,136,real_train
magnum cookies n cream,magnum cookies n cream,unsafe,1,44bc5bbb72be88acfc5887c3c38b2c8d755bf748a033a5d04a29fab57217e72f,137,real_train
magnum mini belgian chocolate,magnum mini belgian chocolate,unsafe,1,42d8e9d735bcb08989fdb27974bde05f2b830f8ccdfba13dbfc414bf4cc3d2a6,138,real_train
magnum mini chocolate and cookies�luxe,magnum mini chocolate and cookies luxe,unsafe,1,0fc4a10b1dce63bb5264aa63da43889f547c2f39e22e0273db10571052ce01e1,139,real_train
magnum mini classic,magnum mini classic,unsafe,1,378a3a8a1720ce6f4422e25a87f8c76b4f7c5e9aec0d540acd886be01758e915,140,real_train
magnum mini mango yougurt parfait,magnum mini mango yougurt parfait,unsafe,1,41c179a681e9a902e0b7fea36ba8f130f139d5615dad5f3e7761e8a7d4253391,141,real_train
makanan ringan beras kameda kotsubukko,makanan ringan beras kameda kotsubukko,unsafe,1,70588c5e7ec117a52839ba0a9dc6055f864250b04d40c86cc8fcb8d9c032c66f,142,real_train
makanan ringan krekers beras rasa keju dan kentang,makanan ringan krekers beras rasa keju dan kentang,unsafe,1,1d5606817fd77ec0e442207e94a358ea2c468d2a1dbe1bddf763a7fd8b702998,143,real_train
makanan ringan krekers beras rasa rumput laut,makanan ringan krekers beras rasa rumput laut,unsafe,1,d26440a4d7f971b25941239c360721170c7ba4f74afa297e7a998c5ca13b2b7d,144,real_train
malkist abon,malkist abon,unsafe,1,0e796af9016b3ea0bbeacb1a9d50041b22413d14cfe9de3930176735d4da1af6,145,real_train
mamasuka tepung pisang goreng krispi original,mamasuka tepung pisang goreng krispi original,unsafe,1,c8c1ce51b6e58ab6daabafc455d1c12a026ecfcba41770c17a42f546faf60b41,146,real_train
mamasuka tepung pisang goreng krispi rasa pandan wangi,mamasuka tepung pisang goreng krispi rasa pandan wangi,unsafe,1,017345c896eabd702b612cceed36a9d09f52d4e3e2bbce34f95ca7d7fbc89a28,147,real_train
mamasuka tepung pisang goreng krispi rasa vanila,mamasuka tepung pisang goreng krispi rasa vanila,unsafe,1,017345c896eabd702b612cceed36a9d09f52d4e3e2bbce34f95ca7d7fbc89a28,147,real_train
mamee potato chips,mamee potato chips,unsafe,1,d654dafbd13b40149078dc37c7e92a67d33346ba424bfc7a0d04c67635b5b059,149,real_train
mango pudding,mango pudding,unsafe,1,ccf5139b33b296e5552b4118e6c2b57f3d6ffb2914c393394d56ff29a626648e,150,real_train
marukome olahan protein kedelai bentuk blok,marukome olahan protein kedelai bentuk blok,unsafe,1,9e445bf5d79386143e970b29f4a93e9bc9ffd04fadea007d1cade4d17cbe8d7f,151,real_train
marukome olahan protein kedelai slice,marukome olahan protein kedelai slice,unsafe,1,719ba923930611a7fd771f3c3c0ee74ce27857084662d1e160678396611c0a1b,152,real_train
masfood instant cripsy prawn with cereal,masfood instant cripsy prawn with cereal,unsafe,1,26404ba8b228a54129a7c69a8ee15ee724b2bea95c9890e0b041371813408d26,153,real_train
matilde vicenzi pastri lapis gula icing,matilde vicenzi pastri lapis gula icing,unsafe,1,4a63885f839b248c5c3f8768ce4e5a22d8239cd65f3d37de3c43ff2098d23642,154,real_train
matilde vicenzi pastry dengan mentega,matilde vicenzi pastry dengan mentega,unsafe,1,81ce08f6d5f31a3bca4713cbfa598e4812362199d2fb62d4cf56b047afdb1406,155,real_train
mayashi cashew honey butter,mayashi cashew honey butter,unsafe,1,637d7889fe95c467a5b0027e52c2c4ec0d736bc24718f8bf4ef92cab75e637b3,156,real_train
mayashi cashew nut corn,mayashi cashew nut corn,unsafe,1,f98c00e2345ff556b11bd2e483300b391f96858b1edc4f1e8cd5490708af5a6c,157,real_train
meiji coklat,meiji coklat,unsafe,1,870691a498dd085a8b7a4465678fb82023f5f7e34ea57479f92be3ab3f75c49b,159,real_train
meiji plain cracker with oat,meiji plain cracker with oat,unsafe,1,c6057635f498d1a38f143c07668a0b8e94533fce55d3e77c597a8ffda8312b23,160,real_train
meiji plain cracker with sesame,meiji plain cracker with sesame,unsafe,1,c06e812940967822779d0bf0963220f9db4bd900fbeec6567b09bede6a296e30,161,real_train
meiji plain crackers,meiji plain crackers,unsafe,1,69fa3bd80f5034727ed889ee68cff922b5ef66995e173d80feaa06b379bfba29,162,real_train
meiji strawberry,meiji strawberry,unsafe,1,4463d855ae588bd6f826808073b8b532af2077a635532fc996608336f7ecfa33,163,real_train
mi basah matang hanil bon go jang,mi basah matang hanil bon go jang,unsafe,1,8d112fa3e69d7d871cab58a86906ca0f4c3512088cdda03b886d2351c453077b,164,real_train
mi telur cap 3 ayam,mi telur cap 3 ayam,unsafe,1,facf4ca0daee8e3fc8b88a1e12c7a07c7161e94ebab727ff43d4e196990475c4,165,real_train
mie gaga 100 jalapeno,mie gaga 100 jalapeno,unsafe,1,17f1b727e4c0f0d9e4cdb16e9e14a7309a97758ca95dbc0bfc1864849d53b694,166,real_train
mie sedap tasty,mie sedap tasty,unsafe,1,21fb524ee810841b7f145a5753ae11dacbd311774030f40ea6feddab719e1da1,167,real_train
mison instan sup dengan tahu goreng marukome,mison instan sup dengan tahu goreng marukome,unsafe,1,938b25278197d8587660558c8b87a5c9ad5a6016a9c36178bcd80b419bb012e1,168,real_train
momogi,momogi,unsafe,1,c0c975b9cc65acc994cdbccfcd1952910e635742d7f02391c1f7e2bf95523b10,169,real_train
momogi rumput laut,momogi rumput laut,unsafe,1,3be398a26ae37c7f09b24b195ca9d62a75aed0c3309d72939f528ac49badbce5,170,real_train
mom's recipe silky pudding avocado,mom s recipe silky pudding avocado,unsafe,1,fb8a8ef1d7b2aafd11e251cef707eb927929cb5070276a2d3762c50f5aba6fea,171,real_train
mom's recipe silky pudding chocolate,mom s recipe silky pudding chocolate,unsafe,1,b763d2442e6424e98d455c836b8880c27ffcdedf9c6b2a73043aabb8444294d0,172,real_train
mom's recipe silky pudding strawberry,mom s recipe silky pudding strawberry,unsafe,1,e500efa4885ee69bd04e723d1e631c9f9999d21286558e07756cbcb89427f5db,173,real_train
monde serena egg rolls chocolate,monde serena egg rolls chocolate,unsafe,1,024708d9ac57c875a74cf024f5491e07254d912eaf863f4f5151744ad77b01b7,174,real_train
monde serena egg rolls original,monde serena egg rolls original,unsafe,1,3dd2e3ab0dc673450f1da09c0688b89f3e220049fc2dcd82cc7d567df75840f5,175,real_train
monde biskuit,monde biskuit,unsafe,1,189654fe8c73ce879ea186c8d72aeee0c37b1dfe4eaffb7fae8d3d760a0aa856,176,real_train
monde boromon cookies,monde boromon cookies,unsafe,1,5a6932735fd04eece9c363ca8186edc897d301a1d26f7a6b439ba2ad0811e376,177,real_train
monde pola snack,monde pola snack,unsafe,1,e766ad205af6eea00dcc3a5f8010fa54a0589507e91e5e9185a6e7ffa2d38df6,178,real_train
monde snack,monde snack,unsafe,1,06adae37922fecbc2f936e789d7234d7eff47db1d707fb9ee2a86381208a97e5,179,real_train
nabati coklat,nabati coklat,unsafe,1,944aabb8792b6e7a19a4be15c733c2946e9bb18eb65e26bf3ab211647cf109bd,181,real_train
nestle honey stars,nestle honey stars,unsafe,1,0bca1ccd88b9dbd1ceae8d46c6f4184737ede60652b82706d023ee6e37b5a560,183,real_train
nestle coco crunch,nestle coco crunch,unsafe,1,2a213ef9455e340b17499bd99df8ea4613eaebc2d1f4f3019f6d115cdfb65203,184,real_train
nestle milo,nestle milo,unsafe,1,58fb896e22016a3532bd2e435bec173ef8c814f71edbf7d62c1b53664ad72216,185,real_train
nextar coklat,nextar coklat,unsafe,1,6b8d34c5b1afe55fd7e894945646e71075c447ecf7bfff9493dab88d883514df,186,real_train
nextar cookies and cream,nextar cookies and cream,unsafe,1,8b15f7d8937b4f94b9cbea5621ed076f14e5f92dae99cd88ff52d78e76cadb41,187,real_train
nissin biskuit stick,nissin biskuit stick,unsafe,1,54ebc52af35f73215db39856b556e60cd69e8fff4719bf216cb8d480f9a1c5f7,188,real_train
nissin waffer coklat,nissin waffer coklat,unsafe,1,745bef444eaa31346b871079bcb365f43611f4fb10c8737301e99588de38499e,189,real_train
nissin crispy crackers,nissin crispy crackers,unsafe,1,1870b44e04fea40e8366d491adc3c32e89122cb46e5d8d8b191e32e384b5f8a9,190,real_train
nissin vegetable crackers,nissin vegetable crackers,unsafe,1,75b6053f2bc53b5592e8bc605c47864d2aa06d734450a1b89cbda38ba987afa1,191,real_train
nissin wafer ovaltine,nissin wafer ovaltine,unsafe,1,3eaf98882122c5e9900ab4c4dd449781e0eacb0ec65a92515722aa088ceedf0c,192,real_train
noisettes kentang goreng beku,noisettes kentang goreng beku,unsafe,1,35187ba0c81dac0d0f36ac27241f893af2a7939acf115cfdc9fd061e620778e4,193,real_train
nuwafer wafer kacang hazel,nuwafer wafer kacang hazel,unsafe,1,71230514e79dc806b520b36cabc0fa9a965830954ee67ab87ab5a35bf9c3ffae,194,real_train
nyam nyam smiley,nyam nyam smiley,unsafe,1,c0b63468caaff0bd6ea3f8a538de0f2a8909788af875e26c51cc9efe6eff95e4,195,real_train
nyam nyam,nyam nyam,unsafe,1,580873169e3ce6c3d6778ba78aea7980bd0c71fb7c5fdb26853a75ed899650c1,196,real_train
oat choco chocolate,oat choco chocolate,unsafe,1,dbeaf8694fb752663cc918afe8be022242e853e12c93b1ebd48f3a4b19d2701c,197,real_train
"oatsy muesli apricot, sultana & almond",oatsy muesli apricot sultana almond,unsafe,1,0a4ce7a9581d94a9f9a50c396e5ff5623f98e19d83123b74aefcecceee34d7a1,198,real_train
oatsy natures harvest muesli,oatsy natures harvest muesli,unsafe,1,74146dc51dbc472ace4159018653ab9238ef23f464d6cacd4186a1b7114587c7,199,real_train
oishi pillow chocolate,oishi pillow chocolate,unsafe,1,c384553d4b2651f00771b8ece982a12d9e81efc2cf0c6e68fe6e6f23d822be74,200,real_train
oishi toss ayam teriyaki,oishi toss ayam teriyaki,unsafe,1,0cc1071feffb50bbf6780343f34b644994595d478911ae5eb64fd1969a42e396,201,real_train
oishi chocolate popcorn,oishi chocolate popcorn,unsafe,1,a18d551a4c7b061bf775a606ea3ae05c58413a2550c9456d92f468688cafe28a,202,real_train
oishi rin-bee,oishi rin bee,unsafe,1,c28c49a98bc9130d165b1a564783ada44a9d367bb56c5a9f138fd36fbbcc8b1e,203,real_train
oreo mini,oreo mini,unsafe,1,86ce8b02685ed51373ce56cccbf258c72334a75034ba864a1022a19841690f62,204,real_train
ovaltine,ovaltine,unsafe,1,a5283a23b15a11a6992f0aed649a1724f447b3b57ee6ff0b75196d3c3f14e1b6,205,real_train
paddle pop milkie,paddle pop milkie,unsafe,1,afb89ffc8cd6a2bd50961544eeab9178bab5eead88556a10ac05e22f6465a58e,206,real_train
pauls australian butter salted,pauls australian butter salted,unsafe,1,4afad35bd8b1140e24767fc6afa081ff35f121a0fda36f40ec5cc8265790eee3,207,real_train
pauls australian butter unsalted,pauls australian butter unsalted,unsafe,1,f5acd638e6920ad04a3cb1a17dd2b3aab43c1441dabe10f1154f847bee97836d,208,real_train
pejoy cookies n cream,pejoy cookies n cream,unsafe,1,d2ec5cb9ac10e80c5cf7363d25864c48a26c4c34f06ce2bc39f965b348b522cb,209,real_train
permen susu kasugai milk no kuni,permen susu kasugai milk no kuni,unsafe,1,a56f2e82d1c4395d32c8677fdc506d7c983d61d13fe3178d1e7e50169d5a7775,210,real_train
permen susu rasa stroberi sakuma ichigo milk,permen susu rasa stroberi sakuma ichigo milk,unsafe,1,993d4bddf3a3f1d628120ce05f7fce964453aa937d7a9a8c3d6463bbfcb57a52,211,real_train
pisang sale tepung,pisang sale tepung,unsafe,1,51a92562df238dcac94ee7b546b1f8ff54dd79eb5f3e111e782809fafe2e7c81,212,real_train
plantable mandu vegetable dumpling,plantable mandu vegetable dumpling,unsafe,1,087295d312ff101e60d106c60519132d95ed2687af161243054d121371db4d46,213,real_train
pocky cookies n cream,pocky cookies n cream,unsafe,1,220d4a496149c7eb53c58b8d934933b21830bea4065e34efe17e281d4ec2a802,214,real_train
pocky yuzu,pocky yuzu,unsafe,1,925ccf9b5fa8f59be060e98723dd66e9e4f7e1449beca4cebd9f2d93f13ed409,215,real_train
poco loco chilli tortilla chips,poco loco chilli tortilla chips,unsafe,1,2b2515531ce54225c98458f72addb57b60a765dbe89b2afa175bbc3ba2fcca7b,216,real_train
poco loco nacho cheese tortilla,poco loco nacho cheese tortilla,unsafe,1,05282f1d12d922da66b9c74e96fa922cf41c5a58a8c4345bdbeed519b248be0c,217,real_train
pop tarts cookies and cream,pop tarts cookies and cream,unsafe,1,093d012dac0fd9b2b5de75265ca339939bab7a79373abe6339911aafc112fb8e,219,real_train
potabee,potabee,unsafe,1,3b375f808b1aa823eb2facff85cd971255df7f0f6adff419d3c9b0bb63724e7a,220,real_train
probitas bagelen,probitas bagelen,unsafe,1,58aae5dedf2e3876d8edda8b417feea46cbca105e07076e3c187f3ec39bc069c,221,real_train
prochiz cheedar cheese,prochiz cheedar cheese,unsafe,1,7e46c779239e16585e9df4f52dd06367051cc4b579050a391359475b022949e0,222,real_train
prochiz gold,prochiz gold,unsafe,1,ea4f01faea0a786eba8b1b68973d4554bf321ddce6916c2e63264f7b9440ccc9,223,real_train
pudding stroberi,pudding stroberi,unsafe,1,52a3ee7770342e771d702c8651c9e22de52c5358478d839e3f9eea0bdb6f96de,224,real_train
pudding vanila,pudding vanila,unsafe,1,eb0093725a545a4232ce73b8c7ad3aa41818eefcdf1d569d9e380846627bbc44,225,real_train
richeese nabati,richeese nabati,unsafe,1,0a2a203bffb978b9fd4bf41aaf9282ea42b1a38051b16abd6224c3e2729d1aff,227,real_train
rocho choco,rocho choco,unsafe,1,8de8f4b8e30836b966f21f8f3dabfcd775935b30bdad74b2b5ecc5fb13d55328,228,real_train
sari gandum sandwich coklat,sari gandum sandwich coklat,unsafe,1,9b7f63bd27bb9662c43a541502a431e8c9773eb90c39d4ce9cb1744f38b1b99c,232,real_train
sari roti sandwich krim keju,sari roti sandwich krim keju,unsafe,1,afe0ddf8ab07e3af29c36423b7cb5e6444e0a746cbf8246c62f763a20b3ca4e8,233,real_train
saus worchester,saus worchester,unsafe,1,89ef5250ee2f43e659ee823332d61ec30f7273f3875fe07f0681d700742941a5,234,real_train
seafoodking bakso ikan salmon,seafoodking bakso ikan salmon,unsafe,1,0a82bfb2804972b649bc69fd0b25e20ca70f4b0cfdc245b849856b2bf4aa685f,235,real_train
shimaya bumbu kaldu sop bubuk,shimaya bumbu kaldu sop bubuk,unsafe,1,3a53d1da57a9a752e9d0d2ee456b82b61727e714aa045c5073d84d7222c8a99f,236,real_train
si umang,si umang,unsafe,1,e6bb7361695578512e980ebf4800c0ede51030c65fc9c5b4b5b0b28e683e3b14,237,real_train
silverqueen coklat,silverqueen coklat,unsafe,1,da251b96099c395c0f7ce2a81ba75a712932f31aaa079b948c16521ae6203dba,238,real_train
simba choco chips,simba choco chips,unsafe,1,d58af29f4b1184cbb8e86c551c1119e237d4d5af5f8c0bd14f694b495e6b8e9d,239,real_train
simpang rasa pandan,simpang rasa pandan,unsafe,1,aeea6d7680b418eadd2e0b077c322895902b173ba1c697144894a0f57da502ae,240,real_train
sliced danmuji,sliced danmuji,unsafe,1,86eaea78b30d6e2785c139a7a54250d33070fa4bec8f2136119ddf70249335d1,241,real_train
slim bites,slim bites,unsafe,1,b3f7f4de4087940bd45bd70b1a8b7409238048cfb69ec203f66af5bad22b9de6,243,real_train
smoked beef,smoked beef,unsafe,1,815837b16e5320e0609ab5deea1b0a88d7bbd6b68631c3c10531055d14123697,244,real_train
snackright crunchy walnut pecan cookies,snackright crunchy walnut pecan cookies,unsafe,1,b057e2cdf7ac780cd55b5664d0eb3ef075075aeb9bd6affb86049f26c18b872c,245,real_train
so good nugget ori,so good nugget ori,unsafe,1,b14196757003252cf870d8a1204c190ad64741a0f76672cf11cc44b88304cbd0,246,real_train
so good chicken karage,so good chicken karage,unsafe,1,2274d12ee7bd654efb591ab20ef91b565e0b057b8bb4193429cc022ec3c978a2,247,real_train
soes cream chocolate,soes cream chocolate,unsafe,1,43a188068546e206b35e230ee4760265136329b0f5cd6d76190b2afc9f2a23e0,248,real_train
sosis goreng,sosis goreng,unsafe,1,a2b9917ffdc6f14f777ded50b1d2f5bc53de3ad8f75b4dc5c9688520cb9b757f,249,real_train
soy sauce,soy sauce,unsafe,1,6075b18fd7f9a05c1a01e717beefdb7f6b8ac13954bf134a53d9992bc3a49d06,250,real_train
soyjoy almond chocolates,soyjoy almond chocolates,unsafe,1,d8975b7580f2e0462d24190d97419a1c20f5c7fd44c129f987eafaf265723496,251,real_train
sponge,sponge,unsafe,1,64f8444505ca096ebe2481891bde58275da88e9fc42003b2425a2fb8588105c0,252,real_train
