nama produk,text,label,label_id,gold_label,group_key
garuda rosta kacang panggang,"Kacang Tanah (45,6%), Tepung Terigu, Pati Jagung, Gula, Bumbu Rasa Bawang 5,5% (Mengandung Bawang Putih Bubuk 1,7%, Penguat Rasa Mononatrium Glutamat [E621], Dinatrium Ribonukleotida [E635]),
Minyak Nabati, Garam, Pengembang Amonium Bikarbonat [E503ii], Antioksidan TBHQ [E319].",unsafe,1,unsafe,garuda rosta kacang panggang
garuda rosta kacang pedas,"Kacang Tanah (42.6%), Tepung Terigu, Pati Jagung, Gula, Saus Cabai (4.9%)(Mengandung Cabai (40%), Penguat Rasa Mononatrium Glutamat [E621], Pemanis Alami Glikosida
Steviol [E960], Pengawet (Kalium Sorbat [E202] dan Natrium
Benzoat [E211])), Bumbu Rasa Balado (3.5%) (Mengandung Cabai Bubuk (0.1%), Pemanis Alami Glikosida Steviol [E960]), Pengembang Amonium Bikarbonat [E503ii], Garam, Pasta
Bawang Putih, Penguat Rasa Dinatrium Inosinat [E531] dan Guaniiat [E627].",unsafe,1,unsafe,garuda rosta kacang pedas
genji,"Tepung Terigu, Margarin (Mengandung Antioksidan BHA dan Pewama Alami Beta Karoten CI. 75130), Lemak Reroti (Mengandung Antioksidan BHA), Gula, Kismis (9%), Garam.",unsafe,1,unsafe,genji
gery salut matcha,"Tepung Terigu, Gula, Lemak Nabati, Susu bubuk Full Cream (6.09%), Whey Bubuk, Krimer Nabati, Minyak Nabati, Pati Jagung, Maltodekstrin, Dekstrosa Monohidrat, Ekstrak Malt, Pengental Nabati, Ragi, Teh Hiiau Bubuk (0.38%), Garam, Pengembang, Pengemulsi
Nabati, Penstabil Fosfat, Perisa Sintetik (Teh Hijau, Susu, Vanila), Perisa Alami Cokelat, Pengatur Keasaman, Pewarna Makanon Alami Kurkumin CI No. 75300.",unsafe,1,unsafe,gery salut matcha
glico stick coklat,"TEPUNG TERIGU, GULA, MINYAK NABATI (MENGANDUNG ANTIOKSIDAN (TOKOFEROL CAMPURAN PEKAT(307b))), SUSU BUBUK, LEMAK REROTI (MENGANDUNG ANTIOKSIDAN(TOKOFEROL CAMPURAN PEKAT(307b))). KAKAO MASSA(3%), EKSTRAK MALT,
KAKAO BUBUK(2%), COKELAT BUBUK(0,5%), GARAM,  PENGEMBANG(NATRIUM HIDROGEN KARBONAT(500(ii))), 
PENGEMULSI(LESITIN KEDELAI(322(i))). PERISA SINTETIK(COKELAT, VANILA), PREMIKS VITAMIN DAN MINERAL(ZAT BESI, VITAMIN B3,  VITAMIN Bl, VITAMIN B2, ASAM FOLAT).
MENGANDUNG ALERGEN, LIHAT DAFTAR BAHAN YANG DICETAK TEBAL.
MUNGKIN MENGANDUNG GANDUM, SUSU. KEDELAI. BARLEY, RYE DAN OAT.
DIPRODUKSI PADA FASILITAS YANG JUGA MEMPROSES kACANG DAN ALMOND.",unsafe,1,unsafe,glico stick coklat
golden farm potato nuggets,"Kentang, Minyak Nabati, Tepung Jagung, Garam, Dekstrosa, Sekuestran: Kalsium Dinatrium EDTA(E385)",unsafe,1,unsafe,golden farm potato nuggets
grisbi biskuit cokelat isi krim coklat,"Tepung Terigu, Gula, Minyak Nabati, Kakao (5 5%), Sirup Glukosa, Pasta Kacang Hazel, Telur, Susu Bubuk (1,5%). Pasta Kakao (1,2%), Cokelat Hitam (1%), Mentega, Pengemulsi Lesitin Kedelai, Garam, Pengembang (Amonium Bikarbonat dan Natrium Bikarbonat) Perisa Alami.
Mengandung alergen, lihat daftar bahan yang dicetak tebal. Mungkin mengandung kacang tanah, kedelai, dan kacang - kacangan lainnya.",unsafe,1,unsafe,grisbi biskuit cokelat isi krim coklat
grona garibaldi,"Tepung terigu, margarin (mengandung pewarna alami Beta karoten (sayuran) CI No 75130), kismis 16.5%, gula  (mengandung pengawet sulfit), telur, sirup glukosa (mengandung pengawet sulfit), lemak reroti (mengandung antioksidan tokoferol), mentega, garam, whey, pati jagung, susu bubuk tanpa lemak, Pengembang (Natrium hidrogen
karbonat dan amonium hidrogen karbonat), perisa alami (vanila dan mentega)",unsafe,1,unsafe,grona garibaldi
grona napoleon,"Tepung terigu, lemak reroti (mengandung pengemulsi mono dan digliserida asam lemak dan antioksidan tokoferol), Sirup gula invert (mengandung pengatur keasaman asam
sitrat dan natrium hidrogen karbonat), gula, pati jagung, Pengembang (amonium hidrogen karbonat dan natrium karbonat), garam, kacang kedelai bubuk, susu skim bubuk,
pengemulsi lesitin kedelai, perisa alami susu, pengawet natrium metabisulfit, Perlakuan tepung Protease dan Aspergillus oryzae, var.",unsafe,1,unsafe,grona napoleon
guribee layers bbq balado,"Jagung (43%), Minyak Kelapa Sawit (mengandung Antioksidan TBHQ), Tepung Tapioka, Bumbu Rasa BBQ Balado (mengandung Rempah (Bubuk Cabe (0,5%)), Penguat Rasa (Mononatrium Glutamat, Dinatrium Inosinat dan Guanilat),
Perisa Sintetik dan Alami (mengandung Penguat Rasa (Mononatrium Glutamat, Dinatrium Inosinat dan Guanilat), Antioksidan Alfa Tokoferol, Pemanis Alami Glikosida steviol), Hidrolisat, Protein Kedelai, Bubuk Kecap, Ekstrak Daging Sapi (0,03%), Padatan Susu, Bubuk Udang, Bubuk Keju, Pemanis Alami Glikosida Steviol, Pewarna Sintetik Makanan Kuning FCF CI No. 15985), Gula, Tepung Beras, Garam, Pengembang, Penstabil dan Perisa Sintetik (mengandung Antioksidan Alfa Tokoferol).
Mengandung alergen, lihat daftar bahan yang dicetak tebal.
Diproduksi menggunakan peralatan yang juga memproses serealia, telur, ikan, dan kacang pohon.",unsafe,1,unsafe,guribee layers bbq balado
hanzel sosis sapi dan ayam rasa keju mozarella,"Daging Ayam 35%, Es, Daging Sapi 21.1%, Keju Mozzarella (10,3%), Penstabil Nabati, Minyak Nabati (Mengandung Antioksidan TBHQ), Bumbu Frankfurter 1,31% (Mengandung Hidrolisat Protein Nabati, Penguat Rasa Mononatrium Glutamat dan Dinatrium 5'-Ribonukleotida), Garam, Isolat Protein Kedelai, Serat Pangan, Penstabil Fosfat, Ekstrak Ragi, Pengawet Kalium Sorbat, Pewarna Alami Karmin CI no. 75470",unsafe,1,unsafe,hanzel sosis sapi dan ayam rasa keju mozarella
herr's makanan ringan ekstrudat keju rasa pedas,"Tepung Jaqung, Minyak Nabati, Saus Keju, (Mengandung keju, Mentega, Penguat Rasa, Mononatrium glutamat, Pewarna Sintetik kuning FCF CI 15985), Bumbu 2% (Mengandung Cabe 2%), Garam Dapat Mengandung Susu",unsafe,1,unsafe,herr s makanan ringan ekstrudat keju rasa pedas
hometown dairy,"Susu Sapi Segar (80%), Air, Gula, Kakao Bubuk (0,8%), Susu Skim Bubuk (0,55%), Perisa Sintetik Cokelat, Penstabil Nabati, Garam",unsafe,1,unsafe,hometown dairy
ice cream aice,"Biscuit (38%) (Mengandung Tepung Terigu, Pengembang Natrium Hidrogen Karbonat), Air, Gula (Mengandung Pengawel Sulfit), Padatan Susu (Susu Bubuk Skim, Susu Bubuk Full Krim), Minyak Nabati, Mentega, Sirup Jagung Tinggi Fruktosa, Penstabil (Nabati), Pengemulsi (Nabati), Perisa Sintetik, Pewarna Sintetik (Tartrazin CI No.19140).
Peringatan Alergen : Mengandung Alergen, Lihat Daftar Bahan Yang Dicetak Tebal",unsafe,1,unsafe,ice cream aice
il gelato blackforest,"AIR, KRIM 14%, SUSU SKIM BUBUK 9.5%, DEKSTROSA MONOHIORAT, KAKAO BUBUK 7%, GULA PASIR, INULIN, MINYAK KELAPA MURNI, SELAI CERY 1% (MENGANDUNG PEWARNA ALAMI ANTOSIANIN DAN PENGAWET KALIUM SORBAT), TEPUNG PREMIKS ESKRIM (MENGANDUNG SUSU), COKLAT HITAM COMPOUND, PENGEMULSI MONO DAN DIGLISERIDA ASAM LEMAK, PENSTABIL: GOM KACANG LOKUS, GOM GUAR, NATRIUM KARBOKSIMETIL SELULOSA",unsafe,1,unsafe,il gelato blackforest
il gelato chocolate,"SUSU, KRIM (17%) (MENGANDUNG SUSU), GULA, DEKSTROSA, KAKAO BUBUK (6%), SUSU SKIM BUBUK",unsafe,1,unsafe,il gelato chocolate
il gelato green tea,"SUSU FULL KRIM (49.95%), KRIM WHPPING (20.7%) (MENGANDUNG PADATAN SUSU), COKELAT SUSU (10%) (MENGANDUNG SUSU), GULA PASIR (MENGANDUNG PENGAWET SULFIT), DEKSTROSA MONOHIDRAT, SUSU SKIM BUBUK (2.7%), TEH HIJAU BUBUK (2%), SIRUP GLUKOSA, TEPUNG PREMIKS ES KRIM (MENGANDUNG SUSU), PENGEMULSI: MONO DAN DIGLISERIDA ASAM LEMAK, PENSTABIL: GOM KACANG LOKUS, GOM GUAR, NATRIUM KARBOKSIMETIL, SELULOSA. 
MENGANDUNG ALERGEN, LIHAT DAFTAR BAHAN YANG DICETAK TEBAL",unsafe,1,unsafe,il gelato green tea
il gelato vanila,"SUSU, KRIM (17%) (MENGANDUNG SUSU), DEKSTROSA, GULA, SUSU SKIM BUBUK, PERISA SINTETIK VANILA PEWARNA ALAMI (KURKUMIN CI 75300 DAN KARAMEL IV)
MENGANDUNG ALLERGEN: LIHAT DAFTAR YANG DICETAK TEBAL",unsafe,1,unsafe,il gelato vanila
indomie goreng,"Tepung terigu, minyak nabati, tepung 
tapioka, garam, penstabil (nabati dan fosfat), pengatur keasaman, mineral (zat besi), pewarna sintetik tartrazin
CI 19140 dan antioksidan TBHQ.
BUMBU : Gula, garam, penguat rasa mononatrium glutamat, bawang putih bubuk, bawang merah bubuk,
perisa sintetik ayam (mengandung ikan, telur, susu, penguat tasa dinatrium inosinat dan guanilat) dan vitamin (A, B1, B6, B12, Niasin, Asam Folat, Pantotenat). CABE BUBUK
MINYAK : Minyak nabati dan bawang merah.
KECAP MANIS : Gula, air, kedelai & gandum, garam, rempah-rempah, minyak nabati (mengandung wijen).
Mengandung alergen, lihat daftar bahan yang dicetak tebal. Mungkin mengandung udang dan kacang tanah.",unsafe,1,unsafe,indomie goreng
jacker potato crisps barbecue flavour,"Kentang Kering (62,997%), Minyak Goreng Kelapa Sawit, pati Kentang, Pati Jagung, Gula, Garam, Perisa Alami Barbekiu, Penguat Rasa Mononatrium L-Glutamat, Anti Kempal Siiikon Dioksida Halus.",unsafe,1,unsafe,jacker potato crisps barbecue flavour
jetz sweet stick,"Gula, Tepung Tapioka, Tepung Terigu, Minyak Olein Kelapa Sawit, Lemak Susu, Kakao Bubuk, Sirup Glukosa, Susu Bubuk Full Cream, Tepung Ubi Jalar, Pengembang Natrium Hidrogen Karbonat, Penstabil Dinatrium Difosfat, Garam, Pengemulsi Lesitin Kedelai, Perisa Sintetik (mengandung Pewarna Alami Karamel l), Perisa Sintetik (mengandung pewarna
Alami Karamel l), Bumbu Rasa Cokelat (mengandung Gula, Cokelat Bubuk (0,005%), susu Bubuk), Mengandung alergen, lihat daftar bahan yang
dicetak tebal",unsafe,1,unsafe,jetz sweet stick
jumulleok marinated boneless beef short-ribs,"Daging Iga Sapi (62,02%), gula, madu, kecap asin (mengandung kedelai, penguat rasa dinatrium ribonukleotida, pengawet natrium benzoate), jahe
Mengandung allergen, lihat daftar
bahan yang dicetak tebal",unsafe,1,unsafe,jumulleok marinated boneless beef short ribs
kacang garuda,"Kcang Tanah, Tepung Terigu, Minyak Nabati, Pati Tapioka, Gula, Telur, Garam, Bawang Merah, Bawang Putih, Penguat Rasa Mononatrium Glutamat, Lada Putih Bubuk.",unsafe,1,unsafe,kacang garuda
kacang polong berlapis tepung kasugai green mame,"Kacang polong (62.35%). pati tapioka. gula, minyak nabati, tepung terigu, tepung beras, ketan, garam, bumbu, pengembang amonium hidrogen karbonat. Mengandung alergen, lihat
daftar bahan yang dicetak tebal Diproduksi menggunakan peralatan yang juga memproses udang, susu, kedelai dan kacang tanah",unsafe,1,unsafe,kacang polong berlapis tepung kasugai green mame
kanzler singles ori,"Daging Ayam (37,7%), Air Es, Air, Minyak Nabati (Mengandung Antioksidan TBHQ), Pengemulsi Hidroksipropil Pati, Daging Sapi (3,35%), Isolat Protein Kedelai, Garam, Karagenan, Putih Telur, Selongsong Sosis, Penstabil Fosfat, Pengatur Keasaman, Bumbu Daging Sapi (Mengandung Penguat Rasa Moponatrium L-Glutamat), Dekstrosa, Bumbu Frankfurter, Penguat Rasa Mononatrium L-Glutamat, Bawang Putih Bubuk, Pewarna Alami Karamel Kelas Ill, Lada Putih, Pengawet (Kalium Sorbat dan Natrium Nitrit), Pewarna Sintetik Ponceau 4R Cl. No. 16255, Antioksidan Natrium Eritorbat, Perisa Alami Asap.
*Mengandung Alergen, lihat daftar bahan yang dicetak tebal.",unsafe,1,unsafe,kanzler singles ori
kartika toast bagelen,"Tepung Terigu, Air, Lemak Reroti (mengandung Antioksidan Tokoferol), 
Gula Icing, Telur Ayam, Margarin (8%) (mengandung Antioksidan BHA, BHT, pewarna Beta - Karoten (sayuran) CI. No. 75130),  Ekstrak Anato CI. No. 75120, Kurkumin CI. No.75300). Gula Kristal (mengandung Pengawet Sulfit), Susu Bubuk, Krimer Kental Manis (mengandung Antioksidan Tokoferol), Ragi, Garam, Pengembang (mengandung Antioksidan Asam Askorbat), Pewarna Tartrazin CI. No. 19140 dan Kuning FCF CI. No. 15985, Perisa Sintetik.",unsafe,1,unsafe,kartika toast bagelen
kata oma telur gabus,"Pati Tapioka, Telur (21.1%), Minyak Nabati, Keju (10%) (mengandung
antioksidan BHA, pengawet asam sorbat dan nisin), Margarin (6.8%) (mengandung antioksidan (BHA,
BHT;tokoferol, arkorbil palmitat) pewarna alami Beta-Karoten (sayuran) CI.No.75130), Garam, Pengembang, Bumbu Rasa Ayam (Mengandung
Pewarna Alami Kurkumin CI. No.75300)",unsafe,1,unsafe,kata oma telur gabus
kellogs coco fills,"Cokelat Paduan, Tepung Gandum
(29.6%), Tepung Gandum Utuh (25.5%), Gula, Kakao Bubuk (5.2%), Garam, Kalsium Karbonat, Antioksidan Tokoferol Campuran Pekat.
Mengandung alergen, lihat daftar bahan
yang dicetak tebal. Mungkin mengandung kacang pohon (tree nuts) dan susu.",unsafe,1,unsafe,kellogs coco fills
kellogs corn flakes,"Jagung (90,4%), Gula, Ekstrak Malt,
Garam, Premiks Vitamin dan Mineral
(Vitamin (A, Bl (Tiamin), B2
(Riboflavin), B3 (Niasin), B6 (Piridoksin), B9 (Asam Folat), B12
(Sianokobalamin), C (Asam Askorbat)),
Mineral Zat Besi dan Seng), Antioksidan Tokoferol.
""Mengandung alergen, lihat daftar
bahan yang dicetak tebal"".
Mungkin mengandung kedelai dan
kacangan pohon (tree nuts).",unsafe,1,unsafe,kellogs corn flakes
keripik tortila rasa bawang dan mentega,"Jagung Kernel Utuh 91%, Minyak Goreng Kelapa Sawit, Bumbu Bawang dan Mentega 1.78% (Mengandung bawang putih (39%), Mentega (50%), Susu, Pemanis buatan Aspartam, penguat rasa (Mononatrium L-glutamat, Dinatrium 5'-ribonukleotida), Pewarna Alami Beta Karoten (Sayuran) CI. No. 75130. Mengandung alergen, lihat daftar bahan yang dicetak tebal. Mengandung fenilalanin, tidak cocok untuk penderita fenilketonurik. Mengandung pemanis buatan, disarankan tidak dikonsumsi oleh anak dibawah 5 (lima) tahun, ibu
hamil, dan ibu menyusui.",unsafe,1,unsafe,keripik tortila rasa bawang dan mentega
keripik tortila rasa pedas,"Jagung Kernel Utuh 91%, Minyak Goreng Kelapa Sawit, Bumbu Pedas 1.78% (Mengandung cabe merah (28%), Cabe Hijau (28%), Penguat rasa Dinatrium 5'ribonukleotida) Pewama Alami Beta Karoten (sayuran) CI No. 75130. Mengandung alergen, lihat daftar bahan yang dicetak tebal, mungkin mengandung kedelai",unsafe,1,unsafe,keripik tortila rasa pedas
kerupuk jengkol balado,"Jengkol, Bawang Merah, Sahang, Telur Ayam, Garam, Terigu, Cabe Merah, Minyak Sayur.",unsafe,1,unsafe,kerupuk jengkol balado
kerupuk jengkol original,"Jengkol, Bawang Merah, Telur Ayam, Garam, Terigu, Minyak Sayur.",unsafe,1,unsafe,kerupuk jengkol original
khong guan marie biscuit,"TEPUNG TERIGU, GULA, LEMAK NABATI (MENGANDUNG ANTIOKSIDAN TOKOFEROL), SUSU BUBUK, MENTEGA, PENGEMBANG (AMONIUM BIKARBONAT
DAN NATRIUM BIKARBONAT), PERISA SINTETIK (SUSU, MENTEGA, VANILA), GARAM, PENGEMULSI NABATI.
Mengandung alergen, lihat daftar bahan yang dicetak tebal. Dapat mengandung telur, kedelai dan kacang.",unsafe,1,unsafe,khong guan marie biscuit
kin yougurt original,"Air. Susu Seger (20%), Gula, Susu Bubuk Skim, Susu Bubuk Penuh Lemak, Pati Modifikasi, Penstabil (Hewani Gelatin Sapi dan Nabati), Madu, Perisa Alami Yogurt, Premiks Vitamin, Kultur Bakteri (Lactobacillus Bulgaricus dan Streptococcus Thermophillus) (0.005%)",unsafe,1,unsafe,kin yougurt original
kinder bueno,"COKELAT SUSU (31.7%) (GULA, LEMAK KAKAO, KAKAO MASSA,SUSU SKIM BUBUK, LEMAK SUSU ANHIDRAT, PENGEMULSI: LESITIN (KEDELAI), PERISA: SINTETIK VANILLA), GULA, MINYAK NABATI, TEPUNG TERIGU, KACANG HAZEL (10.8%), SUSU SKIM BUBUK (8.9%), SUSU BUBUK (5.9%), COKELAT (GULA, KAKAO MASSA, LEMAK KAKAO, PENGEMULSI: LESITIN (KEDELAI). PERISA: SINTETIK VANILA), KAKAO BUBUK, PENGEMULSI: LESITIN (KEDELAI), PENGEMBANG: LESITIN (KEDELAI), PENGEMBANG: NATRIUM BIKARBONAT, GARAM, PERISA: SINTETIK VANILA. TOTAL UNSUR SUSU: 19.5%.",unsafe,1,unsafe,kinder bueno
koko crunch,"Serealia 61% (Tepung Gandum Utuh 30%, Tepung Gandum 29%, Semolina Jagung), Gula, Kakao Bubuk 5%, Ekstrak Malt (Barli), 1 Mineral, Minyak Nabati, Garam, Penstabil, Perisa Alami, Antioksidan Tokoferol Campuran Pekat, Premiks Vitamin dan Mineral.
Mengandung alergen, lihat daftar bahan yang dicetak tebal. Dapat mengandung tree nuts dan susu.",unsafe,1,unsafe,koko crunch
kokola cookies milk vanilla,"Tepung terigu (61%), Gula, Minyak nabati (Mengandung antioksidan
TBHQ), Susu bubuk (2%), Pati jagung, Sirup fruktosa, Pengembang (Amonium
bikarbonat, Natrium bikarbonat), Garam, Pengemulsi (Lesitin kedelai), premiks vitamin dan mineral, Penstabil fosfat, Perisa sintetik (Vanila, Susu).",unsafe,1,unsafe,kokola cookies milk vanilla
kornet sapi,"Air, Protein Kedelai, Daging sapi (25%), Tepung Terigu, Bumbu-bumbu, Garam, Gula, Antioksidan Natrium Eritorbat,
Penstabil Natrium Tripolifosfat. Pengawet Natrium Nitrit.
Mengandung Allergan: Lihat daftar bahan yang dicetak tebal.",unsafe,1,unsafe,kornet sapi
krekers beras rasa keju,"Tepung beras (80%), bumbu bubuk (mengandung bubuk keju [7%], penguat rasa mononatrium L-glutamat [E621], dinatrium 5'-guanilat [E627] & dinatrium 5'-inosinat [E631], perisa alami), minyak nabati (mengandung antioksidan tokoferol campura pekat [E307b]). ",unsafe,1,unsafe,krekers beras rasa keju
krekers beras rasa rumput laut,"Tepung beras (91%), kecap asin (kedelai), gula, rumput laut (1%), perisa alami, penguat rasa (dinatrium 5'-guanilat [E627] & dinatrium 5'-Inosinat [E631]). Mengandung alergen, lihat daftar bahan yang dicetak tebal. Mungkin mengandung susu, telur dan wijen.",unsafe,1,unsafe,krekers beras rasa rumput laut
krekers beras rasa teriyaki,"Tepung beras (91%), bumbu bubuk (mengandung kecap asin, laktosa, penguat rasa dinatrium 5'-guanilat [E627] & dinatrium 5'-Inosinat [E631]), minyak nabati (mengandung antioksidan tokoferol campuran pekat [E307b]). Mengandung alergen, lihat daftar bahan yang dicetak tebal. Mungkin mengandung susu, telur dan wijen.",unsafe,1,unsafe,krekers beras rasa teriyaki
krekers rasa barbekiu,"Tepung Gandum. Minyak Nabati, Tomat Bubuk, Pati, Garam, Kecap Inggris (Mengandung alkohol 0,001%) Barley), Ragi, Bawang Putih Bubuk, Bawang Bombay Bubuk, Gula, Ekstrak Malt, Rempah, Peterseli, Esktrak Rempah, Ekstrak Protein Sayuran, Perisa Alami, Pengembang Amonium Hidrogen Karbonat, Antioksidan Asam Askorbat, Penguat Rasa Dinatrium 5'Ribonukleotida, Pengemulsi Lesitin Kedelai. Mengandung alergen, lihat daftar bahan yang di cetak tebal. Mungkin mengandung Telur, Kacang Pohon dan Kacang Tanah.",unsafe,1,unsafe,krekers rasa barbekiu
krekers rasa keju shapes cheddar,"Tepung Gandum, Keju Chedar (10%), Minyak Nabati, Keju Bubuk, Gula, Keju Pecorino, Garam, Kecap Inggris (Mengandung alkohol 0.001%) Barley), Pati Gandum, Ekstrak Ragi, Ekstrak Malt, Ragi, Tepung Gandum Hitam, Padatan Susu, Rempah, Ekstrak Protein Nabati, Perisa Alami, Pengembang Amonium Hidrogen Karbonat, Pengemulsi Lesitin Kedelai. Mengandung alergen, lihat daftar bahan yang dicetak tebal. Mungkin mengandung Telur, Kacang Pohon dan Kacang Tanah.",unsafe,1,unsafe,krekers rasa keju shapes cheddar
krekers rasa keju shapes nacho cheese,"Tepung Gandum, Minyak Nabati, Pati Jagung, Garam, Padatan Susu, Gula, Keju (2.3%), Ragi, Tomat Bubuk (2,1%), Ekstrak Ragi, Rempah, Bawang Bombay Bubuk, Bawang Putih Bubuk, Pengemulsi Lesitin Kedelai, Penguat Rasa (Mononatrium L-glutamate, Dinatrium 5'-Ribonukleotida), Pengembang Amonium Hidrogen Karbonat, Perisa Alami Keju, Pewarna Alami (Karamel I Plain, Merah Bit, Klorofil Tembaga Kompleks CI. No. 75810). Ekstrak Rempah, Antioksidan Asam Askorbat. Mengandung alergen, lihat daftar bahan yang dicetak tebal.",unsafe,1,unsafe,krekers rasa keju shapes nacho cheese
